_id,userId,chatty_score,safety_score,punctuality_score,friendliness_score,comfortibility_score,variance_dict,UTT,max_variance,giving_feedback_classifier,giving_feedback_classifier_int,time_stamp
5da52c7cf528678ac26489c3,5d94263da9cf770a818cb9a5,5,2,3,2,4,"{'chatty_score': 1.33, 'safety_score': 0.33, 'punctuality_score': 0.1, 'friendliness_score': 0, 'comfortibility_score': 8.33}",10,8.33,comfortibility_score,5,18:36.0
5da52c7cf528678ac26489c4,5d9426a5a9cf770a818d6b88,5,3,1,4,4,"{'chatty_score': 0.67, 'safety_score': 0.17, 'punctuality_score': 2.8, 'friendliness_score': 0.17, 'comfortibility_score': 4.67}",25,4.67,comfortibility_score,5,18:36.3
5da52c93f528678ac26489d7,5d94265ba9cf770a818cecc6,3,2,3,1,2,"{'chatty_score': 5.33, 'safety_score': 8.33, 'punctuality_score': 1.33, 'friendliness_score': 0.1, 'comfortibility_score': 1.33}",30,8.33,safety_score,2,18:59.9
5da52c94f528678ac26489d8,5d942609a9cf770a818c65d6,5,3,2,5,2,"{'chatty_score': 3, 'safety_score': 5.33, 'punctuality_score': 0.33, 'friendliness_score': 0.1, 'comfortibility_score': 0}",25,5.33,safety_score,2,19:00.1
5da52c94f528678ac26489d9,5d94264da9cf770a818cd559,5,3,2,1,1,"{'chatty_score': 0.33, 'safety_score': 8.33, 'punctuality_score': 0.1, 'friendliness_score': 0, 'comfortibility_score': 3}",10,8.33,safety_score,2,19:00.3
5da52c94f528678ac26489da,5d9426f6a9cf770a818df19a,4,1,3,4,3,"{'chatty_score': 1.33, 'safety_score': 0.1, 'punctuality_score': 0, 'friendliness_score': 0, 'comfortibility_score': 0}",30,1.33,chatty_score,1,19:00.6
5da52ca1f528678ac26489e7,5d94267da9cf770a818d2717,2,3,4,3,2,"{'chatty_score': 12.5, 'safety_score': 0.1, 'punctuality_score': 0.5, 'friendliness_score': 0, 'comfortibility_score': 0.5}",30,12.5,chatty_score,1,19:13.6
5da52ca1f528678ac26489e8,5d9425cda9cf770a818c06fc,2,1,5,5,3,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 2, 'friendliness_score': 0.5, 'comfortibility_score': 2}",10,2,punctuality_score,3,19:13.8
5da52ca1f528678ac26489e9,5d9426cea9cf770a818db133,1,3,5,5,1,"{'chatty_score': 2, 'safety_score': 4.5, 'punctuality_score': 0.1, 'friendliness_score': 0, 'comfortibility_score': 0}",10,4.5,safety_score,2,19:14.0
5da52cc3f528678ac26489fb,5d942645a9cf770a818cc7b6,3,4,2,3,5,"{'chatty_score': 0.1, 'safety_score': 1.33, 'punctuality_score': 0, 'friendliness_score': 0, 'comfortibility_score': 0}",30,1.33,safety_score,2,19:47.4
5da52cc3f528678ac26489fc,5d94263ea9cf770a818cbb9a,1,2,3,2,5,"{'chatty_score': 0.1, 'safety_score': 0.33, 'punctuality_score': 0, 'friendliness_score': 2.33, 'comfortibility_score': 5.33}",20,5.33,comfortibility_score,5,19:47.6
5da52cc3f528678ac26489fd,5d942675a9cf770a818d1810,1,5,5,1,4,"{'chatty_score': 8.33, 'safety_score': 0.1, 'punctuality_score': 3, 'friendliness_score': 2.33, 'comfortibility_score': 5.33}",30,8.33,chatty_score,1,19:47.8
5da52cc4f528678ac26489fe,5d9426bea9cf770a818d9618,5,5,5,2,2,"{'chatty_score': 0.1, 'safety_score': 0.33, 'punctuality_score': 0, 'friendliness_score': 0, 'comfortibility_score': 8.33}",10,8.33,comfortibility_score,5,19:48.1
5da52ce1f528678ac2648a0b,5d94262da9cf770a818ca0b3,1,4,2,3,5,"{'chatty_score': 0.1, 'safety_score': 12.5, 'punctuality_score': 0.5, 'friendliness_score': 8, 'comfortibility_score': 0}",30,12.5,safety_score,2,20:17.6
5da52ce1f528678ac2648a0c,5d94262ea9cf770a818ca24e,4,2,2,4,5,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 0, 'friendliness_score': 4.5, 'comfortibility_score': 2}",20,4.5,friendliness_score,4,20:17.8
5da52ce2f528678ac2648a0d,5d94271aa9cf770a818e2f51,5,2,3,4,4,"{'chatty_score': 2, 'safety_score': 0.5, 'punctuality_score': 8, 'friendliness_score': 0.1, 'comfortibility_score': 0}",15,8,punctuality_score,3,20:18.1
5da52cf7f528678ac2648a1f,5d942653a9cf770a818cdf0d,2,4,1,2,2,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 1.33, 'friendliness_score': 0, 'comfortibility_score': 0}",30,1.33,punctuality_score,3,20:39.9
5da52cf8f528678ac2648a20,5d94268ca9cf770a818d410b,3,4,3,3,2,"{'chatty_score': 8.33, 'safety_score': 4, 'punctuality_score': 8.33, 'friendliness_score': 0.1, 'comfortibility_score': 3}",15,8.33,chatty_score,1,20:40.2
5da52cf8f528678ac2648a21,5d94263ea9cf770a818cbae1,4,4,5,4,3,"{'chatty_score': 0.1, 'safety_score': 1, 'punctuality_score': 0, 'friendliness_score': 1, 'comfortibility_score': 4.33}",15,4.33,comfortibility_score,5,20:40.4
5da52cf8f528678ac2648a22,5d9426b1a9cf770a818d8034,5,3,1,4,5,"{'chatty_score': 3.03, 'safety_score': 1.25, 'punctuality_score': 2.0, 'friendliness_score': 2.5, 'comfortibility_score': 0.44}",20,3.03,chatty_score,1,20:40.6
5da52d15f528678ac2648a35,5d94264fa9cf770a818cd790,2,5,3,5,3,"{'chatty_score': 3, 'safety_score': 3, 'punctuality_score': 0.1, 'friendliness_score': 2.33, 'comfortibility_score': 3}",30,3,chatty_score,1,21:09.9
5da52d16f528678ac2648a36,5d942640a9cf770a818cbdb7,4,5,3,2,4,"{'chatty_score': 6.33, 'safety_score': 0.1, 'punctuality_score': 0, 'friendliness_score': 0, 'comfortibility_score': 3}",30,6.33,chatty_score,1,21:10.1
5da52d16f528678ac2648a37,5d9425eca9cf770a818c3690,5,3,2,5,1,"{'chatty_score': 1, 'safety_score': 1.33, 'punctuality_score': 0.1, 'friendliness_score': 0, 'comfortibility_score': 3}",20,3,comfortibility_score,5,21:10.3
5da52d16f528678ac2648a38,5d9426a8a9cf770a818d712a,3,1,5,2,5,"{'chatty_score': 4.12, 'safety_score': 1.41, 'punctuality_score': 0.84, 'friendliness_score': 3.07, 'comfortibility_score': 2.64}",30,4.12,chatty_score,1,21:10.5
5da52d2df528678ac2648a4b,5d942625a9cf770a818c92d8,5,5,3,3,5,"{'chatty_score': 0.1, 'safety_score': 3, 'punctuality_score': 0, 'friendliness_score': 0, 'comfortibility_score': 4.33}",30,4.33,comfortibility_score,5,21:33.3
5da52d2df528678ac2648a4c,5d942606a9cf770a818c6020,5,3,4,2,3,"{'chatty_score': 0.1, 'safety_score': 1.33, 'punctuality_score': 1.33, 'friendliness_score': 3, 'comfortibility_score': 0}",20,3,friendliness_score,4,21:33.5
5da52d2df528678ac2648a4d,5d9425f8a9cf770a818c4a56,4,1,1,2,1,"{'chatty_score': 1.33, 'safety_score': 1.33, 'punctuality_score': 0.33, 'friendliness_score': 6.33, 'comfortibility_score': 1.33}",15,6.33,friendliness_score,4,21:33.7
5da52d2df528678ac2648a4e,5d9426aea9cf770a818d7c3f,4,2,5,3,5,"{'chatty_score': 3.37, 'safety_score': 0.1, 'punctuality_score': 0, 'friendliness_score': 4.17, 'comfortibility_score': 0.67}",10,4.17,friendliness_score,4,21:33.9
5da52d4ef528678ac2648a61,5d942633a9cf770a818caaa2,4,4,3,3,3,"{'chatty_score': 8.33, 'safety_score': 5.33, 'punctuality_score': 5.33, 'friendliness_score': 0.1, 'comfortibility_score': 0}",30,8.33,chatty_score,1,22:06.1
5da52d4ef528678ac2648a62,5d94265da9cf770a818cf0a5,5,2,3,5,2,"{'chatty_score': 1.33, 'safety_score': 0.1, 'punctuality_score': 1.33, 'friendliness_score': 0, 'comfortibility_score': 3}",30,3,comfortibility_score,5,22:06.3
5da52d4ef528678ac2648a63,5d942639a9cf770a818cb36b,5,5,4,4,5,"{'chatty_score': 0.33, 'safety_score': 4.33, 'punctuality_score': 6.33, 'friendliness_score': 0.33, 'comfortibility_score': 2.33}",15,6.33,punctuality_score,3,22:06.5
5da52d4ef528678ac2648a64,5d9426a4a9cf770a818d696f,4,4,4,3,3,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 4.33, 'friendliness_score': 1, 'comfortibility_score': 0}",25,4.33,punctuality_score,3,22:06.7
5da52dabf528678ac2648a77,5d9425f9a9cf770a818c4aed,2,1,3,4,1,"{'chatty_score': 0.1, 'safety_score': 5.33, 'punctuality_score': 1.33, 'friendliness_score': 0, 'comfortibility_score': 1.33}",30,5.33,safety_score,2,23:39.2
5da52dabf528678ac2648a78,5d94262ea9cf770a818ca1ab,3,2,2,5,5,"{'chatty_score': 0.1, 'safety_score': 1.33, 'punctuality_score': 3, 'friendliness_score': 0.33, 'comfortibility_score': 8.33}",30,8.33,comfortibility_score,5,23:39.4
5da52dabf528678ac2648a79,5d9425b2a9cf770a818bde01,3,3,1,5,5,"{'chatty_score': 3, 'safety_score': 3, 'punctuality_score': 0.1, 'friendliness_score': 5.33, 'comfortibility_score': 0}",20,5.33,friendliness_score,4,23:39.5
5da52dabf528678ac2648a7a,5d9426bda9cf770a818d93fd,3,4,2,1,2,"{'chatty_score': 7, 'safety_score': 2.33, 'punctuality_score': 0.1, 'friendliness_score': 1.33, 'comfortibility_score': 1.33}",20,7,chatty_score,1,23:39.8
5da52db6f528678ac2648a87,5d94264ba9cf770a818cd1b1,1,3,4,1,3,"{'chatty_score': 4.5, 'safety_score': 0.5, 'punctuality_score': 0.1, 'friendliness_score': 4.5, 'comfortibility_score': 0}",30,4.5,chatty_score,1,23:50.7
5da52db6f528678ac2648a88,5d9425d2a9cf770a818c0ddf,3,3,5,5,1,"{'chatty_score': 0.1, 'safety_score': 0.5, 'punctuality_score': 0, 'friendliness_score': 8, 'comfortibility_score': 12.5}",25,12.5,comfortibility_score,5,23:50.9
5da52db7f528678ac2648a89,5d9426a9a9cf770a818d7290,4,2,3,4,4,"{'chatty_score': 5.07, 'safety_score': 1.07, 'punctuality_score': 0.1, 'friendliness_score': 0.7, 'comfortibility_score': 1.5}",25,5.07,chatty_score,1,23:51.1
5da52dd7f528678ac2648a9b,5d9425bea9cf770a818bf0a0,5,1,2,3,1,"{'chatty_score': 0.1, 'safety_score': 1.33, 'punctuality_score': 0.33, 'friendliness_score': 8.33, 'comfortibility_score': 0}",30,8.33,friendliness_score,4,24:23.9
5da52dd8f528678ac2648a9c,5d942613a9cf770a818c7682,5,4,5,1,2,"{'chatty_score': 0.33, 'safety_score': 7, 'punctuality_score': 0.1, 'friendliness_score': 1, 'comfortibility_score': 0}",15,7,safety_score,2,24:24.1
5da52dd8f528678ac2648a9d,5d9425e6a9cf770a818c2ebc,3,4,5,5,2,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 2.33, 'friendliness_score': 8.33, 'comfortibility_score': 0.33}",10,8.33,friendliness_score,4,24:24.3
5da52dd8f528678ac2648a9e,5d9426dca9cf770a818dc8da,5,5,3,1,5,"{'chatty_score': 8.33, 'safety_score': 1.33, 'punctuality_score': 3, 'friendliness_score': 0.1, 'comfortibility_score': 0.33}",25,8.33,chatty_score,1,24:24.5
5da52df3f528678ac2648aab,5d94268fa9cf770a818d4629,1,3,2,2,2,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 12.5, 'friendliness_score': 0, 'comfortibility_score': 0}",30,12.5,punctuality_score,3,24:51.3
5da52df3f528678ac2648aac,5d942670a9cf770a818d1036,1,5,5,4,5,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 2, 'friendliness_score': 2, 'comfortibility_score': 12.5}",25,12.5,comfortibility_score,5,24:51.5
5da52df3f528678ac2648aad,5d9426c0a9cf770a818d992b,2,2,5,3,2,"{'chatty_score': 4.3, 'safety_score': 4.67, 'punctuality_score': 2.8, 'friendliness_score': 4.27, 'comfortibility_score': 0.1}",15,4.67,safety_score,2,24:51.7
5da52e0bf528678ac2648ab9,5d942653a9cf770a818cdfc3,3,1,2,3,1,"{'chatty_score': 2, 'safety_score': 0.5, 'punctuality_score': 0.1, 'friendliness_score': 12.5, 'comfortibility_score': 12.5}",30,12.5,friendliness_score,4,25:16.0
5da52e0cf528678ac2648aba,5d942641a9cf770a818cc0c0,5,1,1,4,1,"{'chatty_score': 0.5, 'safety_score': 12.5, 'punctuality_score': 0.1, 'friendliness_score': 0, 'comfortibility_score': 0.5}",15,12.5,safety_score,2,25:16.2
5da52e0cf528678ac2648abb,5d9426eda9cf770a818de32e,5,5,3,2,2,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 12.5, 'friendliness_score': 8, 'comfortibility_score': 4.5}",30,12.5,punctuality_score,3,25:16.4
5da52e28f528678ac2648acd,5d942663a9cf770a818cf9c4,2,5,4,1,5,"{'chatty_score': 3, 'safety_score': 2.33, 'punctuality_score': 6.33, 'friendliness_score': 0.1, 'comfortibility_score': 0.33}",30,6.33,punctuality_score,3,25:44.5
5da52e28f528678ac2648ace,5d942691a9cf770a818d496c,1,5,4,4,5,"{'chatty_score': 0.1, 'safety_score': 0.33, 'punctuality_score': 4, 'friendliness_score': 0.33, 'comfortibility_score': 0}",25,4,punctuality_score,3,25:44.7
5da52e28f528678ac2648acf,5d94265fa9cf770a818cf2bf,4,3,2,4,2,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 0, 'friendliness_score': 0, 'comfortibility_score': 0.33}",25,0.33,comfortibility_score,5,25:44.9
5da52e29f528678ac2648ad0,5d9426aaa9cf770a818d751e,1,3,5,3,2,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 1.33, 'friendliness_score': 8.33, 'comfortibility_score': 0.33}",30,8.33,friendliness_score,4,25:45.1
5da52e60f528678ac2648add,5d942694a9cf770a818d4e3b,3,2,1,3,3,"{'chatty_score': 0.1, 'safety_score': 8, 'punctuality_score': 0, 'friendliness_score': 0, 'comfortibility_score': 0.5}",30,8,safety_score,2,26:40.2
5da52e60f528678ac2648ade,5d942671a9cf770a818d124b,5,3,4,5,3,"{'chatty_score': 8, 'safety_score': 0.5, 'punctuality_score': 12.5, 'friendliness_score': 0.1, 'comfortibility_score': 0}",25,12.5,punctuality_score,3,26:40.4
5da52e60f528678ac2648adf,5d9426c6a9cf770a818da45e,5,5,2,2,5,"{'chatty_score': 0.67, 'safety_score': 3.47, 'punctuality_score': 0.1, 'friendliness_score': 0.7, 'comfortibility_score': 2.67}",10,3.47,safety_score,2,26:40.6
5da52e8ff528678ac2648af1,5d94260aa9cf770a818c67ab,3,3,4,3,1,"{'chatty_score': 3, 'safety_score': 0.33, 'punctuality_score': 0.33, 'friendliness_score': 1.33, 'comfortibility_score': 0.1}",30,3,chatty_score,1,27:27.6
5da52e8ff528678ac2648af2,5d942615a9cf770a818c78dd,3,1,4,3,2,"{'chatty_score': 3, 'safety_score': 2.33, 'punctuality_score': 8.33, 'friendliness_score': 6.33, 'comfortibility_score': 6.33}",20,8.33,punctuality_score,3,27:27.9
5da52e90f528678ac2648af3,5d942658a9cf770a818ce865,1,3,5,3,2,"{'chatty_score': 4.33, 'safety_score': 4.33, 'punctuality_score': 0.1, 'friendliness_score': 0, 'comfortibility_score': 1.33}",15,4.33,chatty_score,1,27:28.3
5da52e90f528678ac2648af4,5d9426b2a9cf770a818d81e7,5,2,1,4,2,"{'chatty_score': 2.21, 'safety_score': 3.1, 'punctuality_score': 3.74, 'friendliness_score': 2.5, 'comfortibility_score': 4.27}",15,4.27,comfortibility_score,5,27:28.8
5da52ed2f528678ac2648b01,5d942682a9cf770a818d2fda,4,3,1,4,4,"{'chatty_score': 0.1, 'safety_score': 0.5, 'punctuality_score': 0, 'friendliness_score': 0, 'comfortibility_score': 0}",30,0.5,safety_score,2,28:34.6
5da52ed3f528678ac2648b02,5d94269fa9cf770a818d6129,3,1,2,5,1,"{'chatty_score': 8, 'safety_score': 0.1, 'punctuality_score': 0, 'friendliness_score': 2, 'comfortibility_score': 0}",20,8,chatty_score,1,28:35.0
5da52ed3f528678ac2648b03,5d942756a9cf770a818e9533,5,2,1,2,3,"{'chatty_score': 0.5, 'safety_score': 0.1, 'punctuality_score': 0.5, 'friendliness_score': 4.5, 'comfortibility_score': 8}",15,8,comfortibility_score,5,28:35.4
5da52f00f528678ac2648b0f,5d9425baa9cf770a818be9ba,4,5,2,3,4,"{'chatty_score': 0.1, 'safety_score': 8, 'punctuality_score': 0, 'friendliness_score': 0, 'comfortibility_score': 0}",30,8,safety_score,2,29:20.3
5da52f00f528678ac2648b10,5d942667a9cf770a818d0123,1,3,5,3,1,"{'chatty_score': 12.5, 'safety_score': 4.5, 'punctuality_score': 2, 'friendliness_score': 0.1, 'comfortibility_score': 0}",15,12.5,chatty_score,1,29:20.5
5da52f00f528678ac2648b11,5d9426b5a9cf770a818d8677,2,5,1,3,4,"{'chatty_score': 0.17, 'safety_score': 0.3, 'punctuality_score': 0.1, 'friendliness_score': 0.7, 'comfortibility_score': 4.57}",25,4.57,comfortibility_score,5,29:20.8
5da52f2af528678ac2648b1d,5d942662a9cf770a818cf890,2,2,3,5,3,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 0, 'friendliness_score': 0.5, 'comfortibility_score': 4.5}",30,4.5,comfortibility_score,5,30:02.1
5da52f2af528678ac2648b1e,5d942697a9cf770a818d5369,3,3,1,5,1,"{'chatty_score': 12.5, 'safety_score': 0.5, 'punctuality_score': 0.1, 'friendliness_score': 8, 'comfortibility_score': 12.5}",15,12.5,chatty_score,1,30:02.3
5da52f2af528678ac2648b1f,5d9426a8a9cf770a818d71ca,4,3,2,1,5,"{'chatty_score': 1.0, 'safety_score': 1.0, 'punctuality_score': 1.0, 'friendliness_score': 1.0, 'comfortibility_score': 6.25}",20,6.25,comfortibility_score,5,30:02.6
5da52f45f528678ac2648b2b,5d9425eda9cf770a818c37f7,2,1,5,4,2,"{'chatty_score': 0.1, 'safety_score': 4.5, 'punctuality_score': 0, 'friendliness_score': 0.5, 'comfortibility_score': 2}",30,4.5,safety_score,2,30:30.0
5da52f46f528678ac2648b2c,5d942680a9cf770a818d2c34,2,1,3,1,2,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 0, 'friendliness_score': 0, 'comfortibility_score': 12.5}",10,12.5,comfortibility_score,5,30:30.2
5da52f46f528678ac2648b2d,5d9426d6a9cf770a818dbf1b,5,5,3,2,4,"{'chatty_score': 2.25, 'safety_score': 0.25, 'punctuality_score': 6.25, 'friendliness_score': 2.92, 'comfortibility_score': 4}",10,6.25,punctuality_score,3,30:30.4
5da52f78f528678ac2648b39,5d942636a9cf770a818caee1,3,2,5,4,5,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 8, 'friendliness_score': 4.5, 'comfortibility_score': 2}",30,8,punctuality_score,3,31:20.5
5da52f78f528678ac2648b3a,5d9425b8a9cf770a818be6f6,2,4,3,4,1,"{'chatty_score': 0.1, 'safety_score': 2, 'punctuality_score': 0.5, 'friendliness_score': 0.5, 'comfortibility_score': 0}",10,2,safety_score,2,31:20.7
5da52f78f528678ac2648b3b,5d9426a0a9cf770a818d634a,2,4,3,3,2,"{'chatty_score': 3.0, 'safety_score': 3.85, 'punctuality_score': 2.65, 'friendliness_score': 4.93, 'comfortibility_score': 3.05}",10,4.93,friendliness_score,4,31:20.9
5da52fc6f528678ac2648b4d,5d942616a9cf770a818c7ab8,5,2,2,5,4,"{'chatty_score': 3, 'safety_score': 1, 'punctuality_score': 0.1, 'friendliness_score': 0, 'comfortibility_score': 1.33}",30,3,chatty_score,1,32:39.0
5da52fc7f528678ac2648b4e,5d942673a9cf770a818d1468,4,2,2,5,1,"{'chatty_score': 0.1, 'safety_score': 3, 'punctuality_score': 1.33, 'friendliness_score': 0, 'comfortibility_score': 0}",20,3,safety_score,2,32:39.2
5da52fc7f528678ac2648b4f,5d942619a9cf770a818c7fc6,5,5,1,3,2,"{'chatty_score': 0.33, 'safety_score': 0.1, 'punctuality_score': 1.33, 'friendliness_score': 3, 'comfortibility_score': 1.33}",20,3,friendliness_score,4,32:39.4
5da52fc7f528678ac2648b50,5d9426c4a9cf770a818da069,1,3,2,5,4,"{'chatty_score': 3.37, 'safety_score': 4.17, 'punctuality_score': 1.5, 'friendliness_score': 0.17, 'comfortibility_score': 2.57}",15,4.17,safety_score,2,32:39.6
5da530d3f528678ac2648b5d,5d9425dea9cf770a818c21cd,1,4,2,1,3,"{'chatty_score': 2, 'safety_score': 0.1, 'punctuality_score': 0, 'friendliness_score': 0, 'comfortibility_score': 0}",30,2,chatty_score,1,37:07.2
5da530d3f528678ac2648b5e,5d9425b7a9cf770a818be602,4,5,3,4,1,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 4.5, 'friendliness_score': 4.5, 'comfortibility_score': 12.5}",15,12.5,comfortibility_score,5,37:07.3
5da530d3f528678ac2648b5f,5d942703a9cf770a818e0733,5,2,4,1,4,"{'chatty_score': 0.1, 'safety_score': 3.2, 'punctuality_score': 0.8, 'friendliness_score': 4.5, 'comfortibility_score': 3}",25,4.5,friendliness_score,4,37:07.6
5da530e1f528678ac2648b6b,5d9425e0a9cf770a818c2468,3,3,1,2,5,"{'chatty_score': 0.1, 'safety_score': 8, 'punctuality_score': 0, 'friendliness_score': 0, 'comfortibility_score': 8}",30,8,safety_score,2,37:21.3
5da530e1f528678ac2648b6c,5d942615a9cf770a818c79a3,1,1,3,1,5,"{'chatty_score': 8, 'safety_score': 0.5, 'punctuality_score': 0.1, 'friendliness_score': 2, 'comfortibility_score': 8}",30,8,chatty_score,1,37:21.5
5da530e1f528678ac2648b6d,5d9426cca9cf770a818dad9d,2,3,5,3,3,"{'chatty_score': 2, 'safety_score': 0.5, 'punctuality_score': 12.5, 'friendliness_score': 0.5, 'comfortibility_score': 12.5}",25,12.5,punctuality_score,3,37:21.8
5da53154f528678ac2648b7f,5d94264fa9cf770a818cd8eb,4,2,3,3,3,"{'chatty_score': 7, 'safety_score': 0.1, 'punctuality_score': 0, 'friendliness_score': 3, 'comfortibility_score': 0}",30,7,chatty_score,1,39:17.0
5da53155f528678ac2648b80,5d942613a9cf770a818c7542,4,2,5,1,5,"{'chatty_score': 1.33, 'safety_score': 0.1, 'punctuality_score': 4, 'friendliness_score': 0, 'comfortibility_score': 0}",25,4,punctuality_score,3,39:17.2
5da53155f528678ac2648b81,5d94261fa9cf770a818c88db,3,3,5,1,1,"{'chatty_score': 0.33, 'safety_score': 2.33, 'punctuality_score': 0.1, 'friendliness_score': 0.33, 'comfortibility_score': 7}",25,7,comfortibility_score,5,39:17.4
5da53155f528678ac2648b82,5d9426a8a9cf770a818d71ba,5,5,1,1,3,"{'chatty_score': 1.84, 'safety_score': 0.39, 'punctuality_score': 4.52, 'friendliness_score': 0.75, 'comfortibility_score': 3.36}",30,4.52,punctuality_score,3,39:17.6
5da5318af528678ac2648b8f,5d94265aa9cf770a818ceb42,2,1,1,1,3,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 0, 'friendliness_score': 0.5, 'comfortibility_score': 8}",30,8,comfortibility_score,5,40:10.1
5da5318af528678ac2648b90,5d942652a9cf770a818cdcde,1,3,3,3,4,"{'chatty_score': 8, 'safety_score': 4.5, 'punctuality_score': 0.1, 'friendliness_score': 0, 'comfortibility_score': 0}",20,8,chatty_score,1,40:10.3
5da5318af528678ac2648b91,5d9426d4a9cf770a818dbb02,4,1,5,5,4,"{'chatty_score': 0.67, 'safety_score': 2.4, 'punctuality_score': 3.37, 'friendliness_score': 0.17, 'comfortibility_score': 0.67}",10,3.37,punctuality_score,3,40:10.5
5da531a6f528678ac2648ba3,5d942622a9cf770a818c8dbf,4,2,2,1,2,"{'chatty_score': 1.33, 'safety_score': 8.33, 'punctuality_score': 0.1, 'friendliness_score': 8.33, 'comfortibility_score': 0}",30,8.33,safety_score,2,40:38.6
5da531a6f528678ac2648ba4,5d942629a9cf770a818c9936,4,3,4,2,2,"{'chatty_score': 8.33, 'safety_score': 1.33, 'punctuality_score': 0.33, 'friendliness_score': 3, 'comfortibility_score': 3}",20,8.33,chatty_score,1,40:38.8
5da531a7f528678ac2648ba5,5d94268ca9cf770a818d408a,4,3,4,2,1,"{'chatty_score': 1.33, 'safety_score': 5.33, 'punctuality_score': 0.1, 'friendliness_score': 2.33, 'comfortibility_score': 0}",20,5.33,safety_score,2,40:39.0
5da531a7f528678ac2648ba6,5d9426c2a9cf770a818d9bea,5,2,3,2,2,"{'chatty_score': 2.4, 'safety_score': 1.47, 'punctuality_score': 3.07, 'friendliness_score': 4.67, 'comfortibility_score': 4.8}",30,4.8,comfortibility_score,5,40:39.3
5da531e3f528678ac2648bb3,5d9425d0a9cf770a818c0be7,3,4,5,2,4,"{'chatty_score': 12.5, 'safety_score': 0.1, 'punctuality_score': 4.5, 'friendliness_score': 2, 'comfortibility_score': 2}",30,12.5,chatty_score,1,41:39.3
