_id,feedback_type,user_who_is_rating_Mongoid,user_who_is_rating_id,user_getting_rated_Mongoid,user_getting_rated_id,trip_id,chatty_rating,safety_rating,punctuality_rating,friendliness_rating,comfort_rating,average_rating,feedback_given_classifier,feedback_given_classifier_to_int,time_stamp,chatty_score,safety_score,punctuality_score,friendliness_score,comfortibility_score,driver_rating,UTT
5d844d129b32337d83ea1269,rider_to_driver,5d844ab8a51ea3e5d351f436,48415,5d844b60a51ea3e5d352c4ec,101845,5d844d129b32337d83ea1266,5,5,3,4,5,4.4,chatty_score,1,2019-09-19 23:52:50,3.0,5.0,2.0,3.0,2.0,4.0,
5d844d129b32337d83ea126a,rider_to_rider,5d844a6ea51ea3e5d35193e1,23754,5d844ab8a51ea3e5d351f436,48415,5d844d129b32337d83ea1266,5,5,2,3,4,3.8,chatty_score,1,2019-09-19 23:52:50,,,,,,,
5d844d129b32337d83ea126b,rider_to_driver,5d844a6ea51ea3e5d35193e1,23754,5d844b60a51ea3e5d352c4ec,101845,5d844d129b32337d83ea1266,2,2,5,3,5,3.4,punctuality_score,3,2019-09-19 23:52:50,1.0,4.0,3.0,1.0,4.0,3.0,
5d844d129b32337d83ea126c,driver_to_rider,5d844b60a51ea3e5d352c4ec,101845,5d844ab8a51ea3e5d351f436,48415,5d844d129b32337d83ea1266,4,4,2,2,3,3.0,chatty_score,1,2019-09-19 23:52:50,,,,,,,
5d844d129b32337d83ea126d,driver_to_rider,5d844b60a51ea3e5d352c4ec,101845,5d844a6ea51ea3e5d35193e1,23754,5d844d129b32337d83ea1266,3,3,4,4,2,3.2,punctuality_score,3,2019-09-19 23:52:50,,,,,,,
5d844d16d5c69065197bb0d4,rider_to_rider,5d844a66a51ea3e5d3518853,20796,5d844acaa51ea3e5d35208f9,53730,5d844d16d5c69065197bb0d2,2,5,5,3,5,4.0,safety_score,2,2019-09-19 23:52:54,,,,,,,
5d844d16d5c69065197bb0d5,rider_to_rider,5d844a66a51ea3e5d3518853,20796,5d844b23a51ea3e5d35279fb,82660,5d844d16d5c69065197bb0d2,3,4,5,2,4,3.6,punctuality_score,3,2019-09-19 23:52:54,,,,,,,
5d844d16d5c69065197bb0d6,rider_to_driver,5d844a66a51ea3e5d3518853,20796,5d844b65a51ea3e5d352ca61,103242,5d844d16d5c69065197bb0d2,5,5,5,3,4,4.4,chatty_score,1,2019-09-19 23:52:54,2.0,2.0,3.0,3.0,3.0,2.0,
5d844d16d5c69065197bb0d7,rider_to_rider,5d844acaa51ea3e5d35208f9,53730,5d844a66a51ea3e5d3518853,20796,5d844d16d5c69065197bb0d2,4,2,2,3,5,3.2,comfortibility_score,5,2019-09-19 23:52:54,,,,,,,
5d844d16d5c69065197bb0d8,rider_to_rider,5d844acaa51ea3e5d35208f9,53730,5d844b23a51ea3e5d35279fb,82660,5d844d16d5c69065197bb0d2,2,3,4,4,3,3.2,punctuality_score,3,2019-09-19 23:52:54,,,,,,,
5d844d16d5c69065197bb0d9,rider_to_driver,5d844acaa51ea3e5d35208f9,53730,5d844b65a51ea3e5d352ca61,103242,5d844d16d5c69065197bb0d2,4,4,2,5,3,3.6,friendliness_score,4,2019-09-19 23:52:54,3.0,2.0,5.0,3.0,4.0,3.0,
5d844d16d5c69065197bb0da,rider_to_rider,5d844b23a51ea3e5d35279fb,82660,5d844a66a51ea3e5d3518853,20796,5d844d16d5c69065197bb0d2,4,2,4,5,3,3.6,friendliness_score,4,2019-09-19 23:52:54,,,,,,,
5d844d16d5c69065197bb0db,rider_to_rider,5d844b23a51ea3e5d35279fb,82660,5d844acaa51ea3e5d35208f9,53730,5d844d16d5c69065197bb0d2,4,3,5,5,3,4.0,punctuality_score,3,2019-09-19 23:52:54,,,,,,,
5d844d16d5c69065197bb0dc,rider_to_driver,5d844b23a51ea3e5d35279fb,82660,5d844b65a51ea3e5d352ca61,103242,5d844d16d5c69065197bb0d2,2,4,3,4,3,3.2,safety_score,2,2019-09-19 23:52:54,3.0,1.0,5.0,2.0,2.0,2.0,
5d844d16d5c69065197bb0dd,driver_to_rider,5d844b65a51ea3e5d352ca61,103242,5d844a66a51ea3e5d3518853,20796,5d844d16d5c69065197bb0d2,2,2,5,2,4,3.0,punctuality_score,3,2019-09-19 23:52:54,,,,,,,
5d844d16d5c69065197bb0de,driver_to_rider,5d844b65a51ea3e5d352ca61,103242,5d844acaa51ea3e5d35208f9,53730,5d844d16d5c69065197bb0d2,2,5,3,5,5,4.0,safety_score,2,2019-09-19 23:52:54,,,,,,,
5d844d16d5c69065197bb0df,driver_to_rider,5d844b65a51ea3e5d352ca61,103242,5d844b23a51ea3e5d35279fb,82660,5d844d16d5c69065197bb0d2,4,4,4,3,4,3.8,chatty_score,1,2019-09-19 23:52:54,,,,,,,
5d844d1fd5c69065197bb0e2,rider_to_rider,5d844ad0a51ea3e5d3520fba,55459,5d844a3ea51ea3e5d3514a5c,4933,5d844d1fd5c69065197bb0e0,4,3,4,2,2,3.0,chatty_score,1,2019-09-19 23:53:03,,,,,,,
5d844d1fd5c69065197bb0e3,rider_to_driver,5d844ad0a51ea3e5d3520fba,55459,5d844b69a51ea3e5d352ced9,104386,5d844d1fd5c69065197bb0e0,3,4,3,2,4,3.2,safety_score,2,2019-09-19 23:53:03,5.0,2.0,3.0,4.0,2.0,4.0,
5d844d1fd5c69065197bb0e4,rider_to_rider,5d844a3ea51ea3e5d3514a5c,4933,5d844ad0a51ea3e5d3520fba,55459,5d844d1fd5c69065197bb0e0,3,5,2,3,2,3.0,safety_score,2,2019-09-19 23:53:03,,,,,,,
5d844d1fd5c69065197bb0e5,rider_to_driver,5d844a3ea51ea3e5d3514a5c,4933,5d844b69a51ea3e5d352ced9,104386,5d844d1fd5c69065197bb0e0,3,3,4,5,3,3.6,friendliness_score,4,2019-09-19 23:53:03,3.0,3.0,3.0,2.0,2.0,4.0,
5d844d1fd5c69065197bb0e6,driver_to_rider,5d844b69a51ea3e5d352ced9,104386,5d844ad0a51ea3e5d3520fba,55459,5d844d1fd5c69065197bb0e0,4,2,4,3,5,3.6,comfortibility_score,5,2019-09-19 23:53:03,,,,,,,
5d844d1fd5c69065197bb0e7,driver_to_rider,5d844b69a51ea3e5d352ced9,104386,5d844a3ea51ea3e5d3514a5c,4933,5d844d1fd5c69065197bb0e0,2,4,2,5,2,3.0,friendliness_score,4,2019-09-19 23:53:03,,,,,,,
5d844d54d5c69065197bb0ea,rider_to_rider,5d844a85a51ea3e5d351b6e2,32715,5d844a86a51ea3e5d351b8ce,33207,5d844d54d5c69065197bb0e8,2,2,2,2,5,2.6,comfortibility_score,5,2019-09-19 23:53:56,,,,,,,
5d844d54d5c69065197bb0eb,rider_to_driver,5d844a85a51ea3e5d351b6e2,32715,5d844b8ca51ea3e5d352fa72,115547,5d844d54d5c69065197bb0e8,5,3,2,3,4,3.4,chatty_score,1,2019-09-19 23:53:56,4.0,5.0,2.0,3.0,5.0,3.0,
5d844d54d5c69065197bb0ec,rider_to_rider,5d844a86a51ea3e5d351b8ce,33207,5d844a85a51ea3e5d351b6e2,32715,5d844d54d5c69065197bb0e8,5,4,3,4,3,3.8,chatty_score,1,2019-09-19 23:53:56,,,,,,,
5d844d54d5c69065197bb0ed,rider_to_driver,5d844a86a51ea3e5d351b8ce,33207,5d844b8ca51ea3e5d352fa72,115547,5d844d54d5c69065197bb0e8,3,3,4,5,5,4.0,friendliness_score,4,2019-09-19 23:53:56,4.0,4.0,1.0,3.0,3.0,3.0,
5d844d54d5c69065197bb0ee,driver_to_rider,5d844b8ca51ea3e5d352fa72,115547,5d844a85a51ea3e5d351b6e2,32715,5d844d54d5c69065197bb0e8,5,4,3,3,2,3.4,chatty_score,1,2019-09-19 23:53:56,,,,,,,
5d844d54d5c69065197bb0ef,driver_to_rider,5d844b8ca51ea3e5d352fa72,115547,5d844a86a51ea3e5d351b8ce,33207,5d844d54d5c69065197bb0e8,5,5,2,2,4,3.6,chatty_score,1,2019-09-19 23:53:56,,,,,,,
5d844d7bd5c69065197bb0f2,rider_to_rider,5d844b3aa51ea3e5d352961a,89859,5d844b1ca51ea3e5d3526f71,79962,5d844d7bd5c69065197bb0f0,5,4,2,4,5,4.0,chatty_score,1,2019-09-19 23:54:35,,,,,,,
5d844d7bd5c69065197bb0f3,rider_to_driver,5d844b3aa51ea3e5d352961a,89859,5d844b6fa51ea3e5d352d7bd,106662,5d844d7bd5c69065197bb0f0,5,4,5,3,2,3.8,chatty_score,1,2019-09-19 23:54:35,3.0,2.0,4.0,5.0,1.0,4.0,
5d844d7bd5c69065197bb0f4,rider_to_rider,5d844b1ca51ea3e5d3526f71,79962,5d844b3aa51ea3e5d352961a,89859,5d844d7bd5c69065197bb0f0,4,5,4,3,3,3.8,safety_score,2,2019-09-19 23:54:35,,,,,,,
5d844d7bd5c69065197bb0f5,rider_to_driver,5d844b1ca51ea3e5d3526f71,79962,5d844b6fa51ea3e5d352d7bd,106662,5d844d7bd5c69065197bb0f0,2,4,4,3,3,3.2,safety_score,2,2019-09-19 23:54:35,1.0,3.0,5.0,4.0,5.0,2.0,
5d844d7bd5c69065197bb0f6,driver_to_rider,5d844b6fa51ea3e5d352d7bd,106662,5d844b3aa51ea3e5d352961a,89859,5d844d7bd5c69065197bb0f0,5,5,3,4,5,4.4,chatty_score,1,2019-09-19 23:54:35,,,,,,,
5d844d7bd5c69065197bb0f7,driver_to_rider,5d844b6fa51ea3e5d352d7bd,106662,5d844b1ca51ea3e5d3526f71,79962,5d844d7bd5c69065197bb0f0,4,5,2,3,5,3.8,safety_score,2,2019-09-19 23:54:35,,,,,,,
5d844f9ed5c69065197bb0fa,rider_to_rider,5d844a96a51ea3e5d351cbbc,38053,5d844a51a51ea3e5d35166e7,12240,5d844f9ed5c69065197bb0f8,2,2,2,2,2,2.0,chatty_score,1,2019-09-20 00:03:42,,,,,,,
5d844f9ed5c69065197bb0fb,rider_to_rider,5d844a96a51ea3e5d351cbbc,38053,5d844a35a51ea3e5d3513b70,1113,5d844f9ed5c69065197bb0f8,2,2,4,5,5,3.6,friendliness_score,4,2019-09-20 00:03:42,,,,,,,
5d844f9ed5c69065197bb0fc,rider_to_driver,5d844a96a51ea3e5d351cbbc,38053,5d844b64a51ea3e5d352c9fa,103139,5d844f9ed5c69065197bb0f8,2,2,5,5,5,3.8,punctuality_score,3,2019-09-20 00:03:42,5.0,3.0,1.0,3.0,4.0,4.0,
5d844f9ed5c69065197bb0fd,rider_to_rider,5d844a51a51ea3e5d35166e7,12240,5d844a96a51ea3e5d351cbbc,38053,5d844f9ed5c69065197bb0f8,3,2,4,2,2,2.6,punctuality_score,3,2019-09-20 00:03:42,,,,,,,
5d844f9ed5c69065197bb0fe,rider_to_rider,5d844a51a51ea3e5d35166e7,12240,5d844a35a51ea3e5d3513b70,1113,5d844f9ed5c69065197bb0f8,3,5,3,2,4,3.4,safety_score,2,2019-09-20 00:03:42,,,,,,,
5d844f9ed5c69065197bb0ff,rider_to_driver,5d844a51a51ea3e5d35166e7,12240,5d844b64a51ea3e5d352c9fa,103139,5d844f9ed5c69065197bb0f8,4,2,3,5,2,3.2,friendliness_score,4,2019-09-20 00:03:42,4.0,5.0,3.0,4.0,5.0,2.0,
5d844f9ed5c69065197bb100,rider_to_rider,5d844a35a51ea3e5d3513b70,1113,5d844a96a51ea3e5d351cbbc,38053,5d844f9ed5c69065197bb0f8,2,3,3,2,3,2.6,safety_score,2,2019-09-20 00:03:42,,,,,,,
5d844f9ed5c69065197bb101,rider_to_rider,5d844a35a51ea3e5d3513b70,1113,5d844a51a51ea3e5d35166e7,12240,5d844f9ed5c69065197bb0f8,3,2,4,5,4,3.6,friendliness_score,4,2019-09-20 00:03:42,,,,,,,
5d844f9ed5c69065197bb102,rider_to_driver,5d844a35a51ea3e5d3513b70,1113,5d844b64a51ea3e5d352c9fa,103139,5d844f9ed5c69065197bb0f8,4,2,5,5,5,4.2,punctuality_score,3,2019-09-20 00:03:42,5.0,2.0,5.0,4.0,2.0,4.0,
5d844f9ed5c69065197bb103,driver_to_rider,5d844b64a51ea3e5d352c9fa,103139,5d844a96a51ea3e5d351cbbc,38053,5d844f9ed5c69065197bb0f8,2,3,4,5,3,3.4,friendliness_score,4,2019-09-20 00:03:42,,,,,,,
5d844f9ed5c69065197bb104,driver_to_rider,5d844b64a51ea3e5d352c9fa,103139,5d844a51a51ea3e5d35166e7,12240,5d844f9ed5c69065197bb0f8,2,3,3,3,4,3.0,comfortibility_score,5,2019-09-20 00:03:42,,,,,,,
5d844f9ed5c69065197bb105,driver_to_rider,5d844b64a51ea3e5d352c9fa,103139,5d844a35a51ea3e5d3513b70,1113,5d844f9ed5c69065197bb0f8,4,3,2,2,3,2.8,chatty_score,1,2019-09-20 00:03:42,,,,,,,
5d844fa4d5c69065197bb109,rider_to_rider,5d844adea51ea3e5d3522151,59962,5d844a58a51ea3e5d351726c,15189,5d844fa4d5c69065197bb107,5,3,4,5,4,4.2,chatty_score,1,2019-09-20 00:03:48,,,,,,,
5d844fa4d5c69065197bb10a,rider_to_driver,5d844adea51ea3e5d3522151,59962,5d844b62a51ea3e5d352c775,102494,5d844fa4d5c69065197bb107,5,3,5,5,4,4.4,chatty_score,1,2019-09-20 00:03:48,5.0,1.0,5.0,2.0,1.0,3.0,
5d844fa4d5c69065197bb10b,rider_to_rider,5d844a58a51ea3e5d351726c,15189,5d844adea51ea3e5d3522151,59962,5d844fa4d5c69065197bb107,2,4,5,3,3,3.4,punctuality_score,3,2019-09-20 00:03:48,,,,,,,
5d844fa4d5c69065197bb10c,rider_to_driver,5d844a58a51ea3e5d351726c,15189,5d844b62a51ea3e5d352c775,102494,5d844fa4d5c69065197bb107,2,4,2,2,5,3.0,comfortibility_score,5,2019-09-20 00:03:48,5.0,5.0,4.0,3.0,1.0,4.0,
5d844fa4d5c69065197bb10d,driver_to_rider,5d844b62a51ea3e5d352c775,102494,5d844adea51ea3e5d3522151,59962,5d844fa4d5c69065197bb107,3,3,4,4,3,3.4,punctuality_score,3,2019-09-20 00:03:48,,,,,,,
5d844fa4d5c69065197bb10e,driver_to_rider,5d844b62a51ea3e5d352c775,102494,5d844a58a51ea3e5d351726c,15189,5d844fa4d5c69065197bb107,2,4,3,5,5,3.8,friendliness_score,4,2019-09-20 00:03:48,,,,,,,
5d844fb0d5c69065197bb111,rider_to_rider,5d844a3ca51ea3e5d35145f2,3803,5d844a63a51ea3e5d35182fb,19428,5d844fb0d5c69065197bb10f,4,5,5,5,4,4.6,safety_score,2,2019-09-20 00:04:00,,,,,,,
5d844fb0d5c69065197bb112,rider_to_driver,5d844a3ca51ea3e5d35145f2,3803,5d844b6fa51ea3e5d352d752,106555,5d844fb0d5c69065197bb10f,4,4,5,3,2,3.6,punctuality_score,3,2019-09-20 00:04:00,3.0,3.0,3.0,5.0,1.0,4.0,
5d844fb0d5c69065197bb113,rider_to_rider,5d844a63a51ea3e5d35182fb,19428,5d844a3ca51ea3e5d35145f2,3803,5d844fb0d5c69065197bb10f,4,5,3,5,5,4.4,safety_score,2,2019-09-20 00:04:00,,,,,,,
5d844fb0d5c69065197bb114,rider_to_driver,5d844a63a51ea3e5d35182fb,19428,5d844b6fa51ea3e5d352d752,106555,5d844fb0d5c69065197bb10f,4,2,2,2,5,3.0,comfortibility_score,5,2019-09-20 00:04:00,1.0,1.0,1.0,4.0,4.0,4.0,
5d844fb0d5c69065197bb115,driver_to_rider,5d844b6fa51ea3e5d352d752,106555,5d844a3ca51ea3e5d35145f2,3803,5d844fb0d5c69065197bb10f,3,3,3,5,4,3.6,friendliness_score,4,2019-09-20 00:04:00,,,,,,,
5d844fb0d5c69065197bb116,driver_to_rider,5d844b6fa51ea3e5d352d752,106555,5d844a63a51ea3e5d35182fb,19428,5d844fb0d5c69065197bb10f,3,2,2,3,2,2.4,chatty_score,1,2019-09-20 00:04:00,,,,,,,
5d844fc8d5c69065197bb119,rider_to_rider,5d844a6da51ea3e5d35193a5,23694,5d844ad1a51ea3e5d3521057,55616,5d844fc8d5c69065197bb117,2,5,2,2,5,3.2,safety_score,2,2019-09-20 00:04:24,,,,,,,
