_id,max_variance,UTT,chatty_score,safety_score,punctuality_score,friendliness_score,comfortibility_score,giving_feedback_classifier_int
5dce10a521697e035c3c5bd6,2.0,20,4,3,3,2,4,3
5dce10a521697e035c3c5bd7,5.43,20,3,4,4,1,1,4
5dce10a521697e035c3c5bd8,4.0,30,5,5,3,3,3,3
5dce10a521697e035c3c5bd9,8.33,20,5,4,3,2,1,5
5dce10a521697e035c3c5bda,5.33,15,5,1,2,1,3,4
5dce10a521697e035c3c5bdb,8.33,25,5,2,1,5,2,2
5dce10a521697e035c3c5bdc,5.33,30,3,1,1,3,2,3
5dce10a521697e035c3c5bdd,8.33,25,5,2,3,1,5,2
5dce10a521697e035c3c5bde,5.33,30,3,1,3,2,1,1
5dce10a621697e035c3c5bdf,4.17,20,5,4,3,3,4,1
5dce10a621697e035c3c5be0,5.33,30,5,5,3,5,5,1
5dce10a621697e035c3c5be1,6.33,10,4,1,4,4,4,2
5dce10a621697e035c3c5be2,5.33,10,5,4,2,3,2,4
5dce10a621697e035c3c5be3,8.33,10,4,5,3,2,1,5
5dce10a621697e035c3c5be4,12.5,30,2,1,5,5,2,2
5dce10a621697e035c3c5be5,12.5,10,4,2,5,2,1,5
5dce10a621697e035c3c5be6,12.5,10,4,4,4,5,2,1
5dce10a621697e035c3c5be7,12.5,30,4,2,3,1,5,3
5dce10a621697e035c3c5be8,0.5,20,2,2,4,1,5,2
5dce10a621697e035c3c5be9,2.0,10,5,5,1,1,1,5
5dce10a621697e035c3c5bea,4.5,30,2,3,3,2,3,5
5dce10a621697e035c3c5beb,12.5,25,1,5,2,1,4,2
5dce10a621697e035c3c5bec,2.0,20,2,5,1,2,2,4
5dce10a621697e035c3c5bed,8.0,30,3,3,2,4,3,5
5dce10a621697e035c3c5bee,12.5,25,1,3,2,5,2,4
5dce10a621697e035c3c5bef,4.92,20,5,2,5,1,1,1
5dce10a621697e035c3c5bf0,6.33,30,1,1,4,5,3,2
5dce10a621697e035c3c5bf1,8.33,30,4,2,1,5,5,1
5dce10a621697e035c3c5bf2,8.33,30,3,4,2,5,4,2
5dce10a621697e035c3c5bf3,5.33,10,2,3,4,3,2,5
5dce10a621697e035c3c5bf4,7.0,30,2,5,5,3,1,3
5dce10a621697e035c3c5bf5,6.33,20,1,4,4,5,4,3
5dce10a621697e035c3c5bf6,8.33,20,3,5,4,3,3,2
5dce10a621697e035c3c5bf7,4.86,30,1,3,1,5,1,4
5dce10a621697e035c3c5bf8,0.5,30,4,1,1,5,3,1
5dce10a621697e035c3c5bf9,8.0,30,4,1,4,5,1,4
5dce10a621697e035c3c5bfa,4.5,10,3,5,2,1,1,3
5dce10a621697e035c3c5bfb,8.33,30,5,2,5,3,1,5
5dce10a621697e035c3c5bfc,7.0,20,3,1,4,1,2,2
5dce10a621697e035c3c5bfd,4.33,30,5,5,2,2,3,5
5dce10a621697e035c3c5bfe,4.81,20,5,4,3,4,1,5
5dce10a621697e035c3c5bff,8.33,30,1,5,1,1,3,1
5dce10a621697e035c3c5c00,5.33,10,1,5,5,4,4,1
5dce10a621697e035c3c5c01,0.33,10,3,5,5,1,1,5
5dce10a621697e035c3c5c02,5.25,15,2,3,2,1,2,2
5dce10a621697e035c3c5c03,8.0,30,3,1,2,2,3,5
5dce10a621697e035c3c5c04,4.5,20,3,1,1,3,1,2
5dce10a621697e035c3c5c05,4.92,15,2,4,4,2,2,5
5dce10a621697e035c3c5c06,0.1,30,4,2,3,1,2,1
5dce10a621697e035c3c5c07,12.5,15,5,3,2,2,4,4
5dce10a621697e035c3c5c08,6.25,10,1,3,3,1,4,1
5dce10a621697e035c3c5c09,8.33,30,1,1,1,5,2,1
5dce10a621697e035c3c5c0a,2.33,25,3,3,3,4,3,4
5dce10a621697e035c3c5c0b,5.33,15,2,1,1,4,3,4
5dce10a621697e035c3c5c0c,2.67,25,2,2,3,4,4,1
5dce10a621697e035c3c5c0d,4.33,30,2,3,3,2,5,5
5dce10a621697e035c3c5c0e,5.33,30,1,2,1,5,4,1
5dce10a621697e035c3c5c0f,5.33,10,1,3,3,3,5,3
5dce10a621697e035c3c5c10,4.97,15,4,4,4,1,3,3
5dce10a621697e035c3c5c11,12.5,30,2,3,5,3,5,2
5dce10a621697e035c3c5c12,12.5,10,2,1,4,4,1,3
5dce10a621697e035c3c5c13,12.5,15,4,5,4,5,5,2
5dce10a621697e035c3c5c14,8.33,30,4,1,1,1,5,2
5dce10a621697e035c3c5c15,7.0,30,2,2,2,1,5,1
5dce10a621697e035c3c5c16,1.33,25,5,3,1,4,3,1
5dce10a621697e035c3c5c17,5.5,15,5,5,5,4,4,3
5dce10a621697e035c3c5c18,8.0,30,5,4,1,3,4,2
5dce10a621697e035c3c5c19,2.0,15,4,3,3,4,3,5
5dce10a621697e035c3c5c1a,0.5,15,2,3,1,3,2,3
5dce10a621697e035c3c5c1b,4.5,30,1,4,3,1,5,3
5dce10a621697e035c3c5c1c,0.5,30,2,2,1,5,5,4
5dce10a621697e035c3c5c1d,5.67,15,3,5,4,2,4,3
5dce10a621697e035c3c5c1e,12.5,30,3,1,4,2,1,3
5dce10a621697e035c3c5c1f,8.0,20,2,2,5,3,3,4
5dce10a621697e035c3c5c20,0.1,10,5,1,2,1,3,1
5dce10a621697e035c3c5c21,0.5,30,2,3,1,3,3,5
5dce10a621697e035c3c5c22,0.5,15,5,5,3,3,3,1
5dce10a621697e035c3c5c23,8.0,30,2,1,5,3,5,1
5dce10a621697e035c3c5c24,8.33,30,2,4,3,1,2,5
5dce10a621697e035c3c5c25,8.33,25,1,5,5,1,1,3
5dce10a621697e035c3c5c26,8.33,15,3,5,2,1,5,1
5dce10a621697e035c3c5c27,8.33,10,1,4,3,5,3,3
5dce10a621697e035c3c5c28,8.33,30,2,5,5,1,3,1
5dce10a621697e035c3c5c29,5.33,25,3,4,5,1,2,2
5dce10a621697e035c3c5c2a,8.33,25,3,4,1,2,3,3
5dce10a621697e035c3c5c2b,3.88,30,2,2,2,5,1,1
5dce10a621697e035c3c5c2c,5.33,30,1,1,1,2,4,3
5dce10a621697e035c3c5c2d,3.0,30,1,1,1,2,4,5
5dce10a621697e035c3c5c2e,8.33,30,4,5,2,4,3,2
5dce10a621697e035c3c5c2f,4.86,30,3,3,4,2,5,5
5dce10a621697e035c3c5c30,7.0,30,3,2,5,5,2,5
5dce10a621697e035c3c5c31,5.33,10,2,1,5,2,3,3
5dce10a621697e035c3c5c32,7.0,10,5,1,4,5,4,3
5dce10a621697e035c3c5c33,5.33,30,2,5,4,4,3,3
5dce10a621697e035c3c5c34,8.33,30,2,1,4,4,3,1
5dce10a621697e035c3c5c35,8.33,25,2,1,5,5,2,2
5dce10a621697e035c3c5c36,6.33,25,5,4,3,3,3,2
5dce10a621697e035c3c5c37,0.33,30,2,3,1,1,2,1
5dce10a621697e035c3c5c38,2.0,30,1,2,1,3,3,1
5dce10a621697e035c3c5c39,12.5,25,4,3,3,5,4,3
5dce10a621697e035c3c5c3a,2.0,15,3,5,1,1,4,1
5dce10a621697e035c3c5c3b,5.33,30,5,4,4,1,4,3
5dce10a621697e035c3c5c3c,5.33,30,5,5,2,2,2,3
5dce10a621697e035c3c5c3d,5.33,10,4,4,3,1,2,1
5dce10a621697e035c3c5c3e,2.55,20,1,4,4,3,4,3
5dce10a621697e035c3c5c3f,4.33,30,5,1,3,1,4,4
5dce10a621697e035c3c5c40,8.33,25,3,5,5,1,3,2
5dce10a621697e035c3c5c41,5.33,20,5,3,1,1,2,2
5dce10a621697e035c3c5c42,3.25,20,5,5,3,3,2,1
5dce10a621697e035c3c5c43,6.33,30,3,4,1,3,4,1
5dce10a621697e035c3c5c44,8.33,30,1,4,2,1,4,1
5dce10a621697e035c3c5c45,3.0,25,2,5,2,5,1,1
5dce10a621697e035c3c5c46,8.33,15,5,1,4,1,5,3
5dce10a621697e035c3c5c47,0.5,30,5,1,1,5,5,3
5dce10a621697e035c3c5c48,8.0,30,3,1,2,3,3,2
5dce10a621697e035c3c5c49,8.0,30,1,2,1,2,2,5
5dce10a621697e035c3c5c4a,6.33,30,5,4,3,1,4,2
5dce10a621697e035c3c5c4b,8.33,25,4,1,3,4,1,2
5dce10a621697e035c3c5c4c,6.33,10,4,1,3,4,2,4
5dce10a621697e035c3c5c4d,4.25,15,2,4,5,5,2,1
5dce10a621697e035c3c5c4e,8.33,30,1,3,3,2,3,4
5dce10a621697e035c3c5c4f,8.33,20,3,1,3,2,1,2
5dce10a621697e035c3c5c50,7.0,10,3,3,5,3,3,2
5dce10a621697e035c3c5c51,7.0,10,3,3,5,4,1,3
5dce10a621697e035c3c5c52,5.33,30,5,3,4,3,3,1
5dce10a621697e035c3c5c53,7.0,15,5,1,5,3,5,3
5dce10a621697e035c3c5c54,2.33,10,5,3,1,2,5,2
5dce10a621697e035c3c5c55,3.6,30,4,3,4,2,3,5
5dce10a621697e035c3c5c56,12.5,30,3,5,1,2,1,3
5dce10a621697e035c3c5c57,12.5,30,1,4,1,4,1,2
5dce10a621697e035c3c5c58,5.07,10,3,4,5,1,1,5
5dce10a621697e035c3c5c59,0.5,30,1,1,1,3,4,2
5dce10a621697e035c3c5c5a,0.1,20,1,3,4,2,5,1
5dce10a621697e035c3c5c5b,3.79,25,1,1,3,1,1,1
5dce10a621697e035c3c5c5c,12.5,30,5,2,5,1,5,2
5dce10a621697e035c3c5c5d,8.0,20,5,4,5,2,1,4
5dce10a621697e035c3c5c5e,12.5,15,2,2,2,1,1,5
5dce10a621697e035c3c5c5f,2.0,30,5,1,5,1,5,2
5dce10a621697e035c3c5c60,12.5,15,5,2,3,2,5,2
5dce10a621697e035c3c5c61,4.5,10,2,3,3,2,1,1
5dce10a621697e035c3c5c62,0.1,30,4,2,2,3,2,1
5dce10a621697e035c3c5c63,12.5,10,5,5,2,5,2,3
5dce10a621697e035c3c5c64,8.0,25,2,1,5,3,4,1
5dce10a621697e035c3c5c65,7.0,30,4,4,2,2,2,2
5dce10a621697e035c3c5c66,8.33,20,4,5,3,1,5,1
5dce10a621697e035c3c5c67,5.33,15,4,1,1,3,1,3
5dce10a621697e035c3c5c68,1.0,25,2,5,5,4,5,1
5dce10a621697e035c3c5c69,12.5,30,1,1,3,4,4,1
5dce10a621697e035c3c5c6a,0.5,15,5,1,4,5,3,4
5dce10a621697e035c3c5c6b,6.25,30,4,5,3,5,3,4
5dce10a621697e035c3c5c6c,4.33,30,4,2,3,4,5,2
5dce10a621697e035c3c5c6d,6.33,30,5,4,4,1,5,3
5dce10a621697e035c3c5c6e,8.33,20,3,1,4,4,5,2
5dce10a621697e035c3c5c6f,4.5,30,4,4,5,5,4,3
5dce10a621697e035c3c5c70,3.0,30,3,5,3,1,1,2
5dce10a621697e035c3c5c71,8.33,20,1,5,1,3,4,3
5dce10a621697e035c3c5c72,7.0,30,1,5,3,4,2,1
5dce10a621697e035c3c5c73,6.33,25,2,2,1,5,3,1
5dce10a621697e035c3c5c74,8.33,30,3,4,3,4,3,1
5dce10a621697e035c3c5c75,4.33,30,4,3,2,5,5,1
5dce10a621697e035c3c5c76,5.33,20,4,5,4,1,2,1
5dce10a621697e035c3c5c77,8.33,15,4,4,5,5,1,3
5dce10a621697e035c3c5c78,5.33,30,5,1,2,4,5,5
5dce10a621697e035c3c5c79,8.33,10,4,4,1,1,2,2
5dce10a621697e035c3c5c7a,8.33,20,5,4,4,2,5,1
5dce10a621697e035c3c5c7b,8.33,30,1,2,4,3,2,1
5dce10a621697e035c3c5c7c,4.5,30,4,2,4,1,2,4
5dce10a621697e035c3c5c7d,8.0,20,5,2,3,3,1,4
5dce10a621697e035c3c5c7e,4.0,10,5,5,1,3,4,1
5dce10a621697e035c3c5c7f,7.0,30,3,2,1,5,5,1
5dce10a621697e035c3c5c80,8.33,10,1,5,2,5,1,2
5dce10a621697e035c3c5c81,8.33,15,3,2,2,4,4,5
5dce10a621697e035c3c5c82,2.97,30,1,2,2,2,2,1
5dce10a621697e035c3c5c83,12.5,30,3,1,4,1,4,4
5dce10a621697e035c3c5c84,12.5,30,2,1,4,1,1,2
5dce10a621697e035c3c5c85,4.84,20,4,2,2,3,5,5
5dce10a621697e035c3c5c86,8.33,30,4,1,1,2,3,2
5dce10a621697e035c3c5c87,5.33,25,5,1,1,3,3,4
5dce10a621697e035c3c5c88,5.33,15,5,4,5,3,1,1
5dce10a621697e035c3c5c89,8.33,30,4,5,3,5,4,4
5dce10a621697e035c3c5c8a,8.33,30,1,5,5,4,4,5
5dce10a621697e035c3c5c8b,3.0,30,2,5,4,4,1,4
5dce10a621697e035c3c5c8c,7.0,10,2,5,2,1,4,5
5dce10a621697e035c3c5c8d,6.33,15,5,4,4,4,4,1
5dce10a621697e035c3c5c8e,4.5,30,4,5,1,5,4,1
5dce10a621697e035c3c5c8f,4.5,25,2,4,5,5,3,4
5dce10a621697e035c3c5c90,5.07,30,2,2,3,2,4,5
5dce10a621697e035c3c5c91,8.33,30,3,3,1,2,3,1
5dce10a621697e035c3c5c92,8.33,10,5,5,1,3,5,1
5dce10a621697e035c3c5c93,8.33,25,2,5,5,1,5,3
5dce10a621697e035c3c5c94,5.33,20,3,3,3,1,3,2
5dce10a621697e035c3c5c95,6.33,30,4,2,1,5,4,5
5dce10a621697e035c3c5c96,8.33,30,1,2,2,3,2,4
5dce10a621697e035c3c5c97,2.33,30,1,3,2,3,2,3
5dce10a621697e035c3c5c98,4.82,30,1,2,2,1,5,5
5dce10a621697e035c3c5c99,2.33,30,2,2,5,3,5,4
5dce10a621697e035c3c5c9a,8.33,25,2,4,5,5,5,3
5dce10a621697e035c3c5c9b,8.33,20,2,2,4,3,4,3
5dce10a621697e035c3c5c9c,4.61,25,1,4,4,5,5,4
5dce10a621697e035c3c5c9d,12.5,30,2,1,5,3,2,4
5dce10a621697e035c3c5c9e,4.5,30,4,5,5,2,3,1
5dce10a621697e035c3c5c9f,8.0,30,3,4,4,5,2,2
5dce10a621697e035c3c5ca0,2.33,30,4,5,4,1,3,2
5dce10a621697e035c3c5ca1,5.33,30,1,5,3,3,4,1
5dce10a621697e035c3c5ca2,8.33,15,3,3,5,5,3,5
5dce10a621697e035c3c5ca3,5.33,10,3,5,5,2,4,2
5dce10a621697e035c3c5ca4,12.5,30,4,2,1,3,4,3
5dce10a621697e035c3c5ca5,12.5,20,3,2,2,2,1,2
5dce10a621697e035c3c5ca6,6.0,20,5,4,5,5,5,2
5dce10a621697e035c3c5ca7,12.5,30,3,1,5,1,1,2
5dce10a621697e035c3c5ca8,8.0,10,5,5,5,3,5,5
5dce10a621697e035c3c5ca9,5.2,10,5,5,5,2,1,5
5dce10a621697e035c3c5caa,8.33,30,4,2,3,1,1,4
5dce10a621697e035c3c5cab,4.33,30,4,3,5,3,2,4
5dce10a621697e035c3c5cac,5.33,15,4,1,4,2,4,2
5dce10a621697e035c3c5cad,8.33,10,1,1,2,1,1,2
5dce10a621697e035c3c5cae,0.1,30,4,1,5,2,3,1
5dce10a621697e035c3c5caf,0.5,25,5,2,5,2,2,2
5dce10a621697e035c3c5cb0,6.67,10,5,4,5,5,3,4
5dce10a621697e035c3c5cb1,12.5,30,1,2,5,4,4,3
5dce10a621697e035c3c5cb2,8.0,15,3,5,4,4,3,1
5dce10a621697e035c3c5cb3,2.0,25,5,2,2,4,2,1
5dce10a621697e035c3c5cb4,8.33,30,4,3,1,4,4,4
5dce10a621697e035c3c5cb5,7.0,15,5,5,2,4,2,1
5dce10a621697e035c3c5cb6,7.0,15,3,4,4,4,3,2
5dce10a621697e035c3c5cb7,3.75,25,3,2,5,3,3,1
5dce10a621697e035c3c5cb8,8.0,30,2,4,2,2,2,3
5dce10a621697e035c3c5cb9,12.5,20,4,5,1,2,2,5
5dce10a621697e035c3c5cba,3.91,30,1,3,4,4,4,5
5dce10a621697e035c3c5cbb,2.0,30,2,1,1,2,5,4
5dce10a621697e035c3c5cbc,8.0,10,5,4,4,5,5,4
5dce10a621697e035c3c5cbd,4.5,20,2,5,4,1,1,4
5dce10a621697e035c3c5cbe,8.33,30,1,2,3,1,2,2
5dce10a621697e035c3c5cbf,8.33,20,2,1,4,4,2,3
5dce10a621697e035c3c5cc0,8.33,30,1,1,3,1,4,1
5dce10a621697e035c3c5cc1,8.33,30,5,2,5,1,4,5
5dce10a621697e035c3c5cc2,12.5,30,5,3,5,4,5,1
